original,main
Housing Development,Residence
Ice Cream Shop,Food & Drink
Indian Restaurant,Food & Drink
Indie Movie Theater,Arts & Entertainment
Indie Theater,Arts & Entertainment
Indonesian Restaurant,Food & Drink
Internet Cafe,Shop & Service
Italian Restaurant,Food & Drink
Japanese Restaurant,Food & Drink
Jazz Club,Nightlife Spot
Jewelry Store,Shop & Service
Juice Bar,Food & Drink
Karaoke Bar,Nightlife Spot
Kids Store,Shop & Service
Korean Restaurant,Food & Drink
Lake,Outdoors & Recreation
Latin American Restaurant,Food & Drink
Laundry Service,Shop & Service
Law School,College & Education
Library,College & Education
Light Rail,Travel & Transport
Lingerie Store,Shop & Service
Liquor Store,Shop & Service
Lounge,Nightlife Spot
Malaysian Restaurant,Food & Drink
Mall,Shop & Service
Market,Shop & Service
Martial Arts Dojo,Outdoors & Recreation
Medical Center,Professional & Other Places
Medical School,College & Education
Mediterranean Restaurant,Food & Drink
Meeting Room,Professional & Other Places
Men's Store,Shop & Service
Mexican Restaurant,Food & Drink
Middle Eastern Restaurant,Food & Drink
Middle School,College & Education
Military Base,Professional & Other Places
Miscellaneous Shop,Shop & Service
Mobile Phone Shop,Shop & Service
Mongolian Restaurant,Food & Drink
Monument / Landmark,Arts & Entertainment
Mosque,Professional & Other Places
Motel,Travel & Transport
Mountain,Outdoors & Recreation
Movie Theater,Arts & Entertainment
Moving Target,Travel & Transport
Multiplex,Arts & Entertainment
Museum,Arts & Entertainment
Music Store,Shop & Service
Music Venue,Arts & Entertainment
Nail Salon,Shop & Service
Neighborhood,Residence
New American Restaurant,Food & Drink
Newsstand,Shop & Service
Nightclub,Nightlife Spot
Nightlife Spot,Nightlife Spot
Non-Profit,Professional & Other Places
Nursery School,College & Education
Office,Professional & Other Places
Opera House,Arts & Entertainment
Optical Shop,Shop & Service
Other Great Outdoors,Outdoors & Recreation
Other Nightlife,Nightlife Spot
Outdoors & Recreation,Outdoors & Recreation
Paella Restaurant,Food & Drink
Paintball Field,Outdoors & Recreation
Paper / Office Supplies Store,Shop & Service
Park,Outdoors & Recreation
Parking,Travel & Transport
Performing Arts Venue,Arts & Entertainment
Peruvian Restaurant,Food & Drink
Pet Service,Shop & Service
Pet Store,Shop & Service
Photography Lab,Shop & Service
Piano Bar,Nightlife Spot
Pier,Outdoors & Recreation
Pizza Place,Food & Drink
Plane,Travel & Transport
Planetarium,Arts & Entertainment
Platform,Travel & Transport
Playground,Outdoors & Recreation
Plaza,Outdoors & Recreation
Police Station,Professional & Other Places
Pool,Outdoors & Recreation
Pool Hall,Arts & Entertainment
Portuguese Restaurant,Food & Drink
Post Office,Professional & Other Places
Professional & Other Places,Professional & Other Places
Pub,Nightlife Spot
Public Art,Arts & Entertainment
Racetrack,Arts & Entertainment
Radio Station,Professional & Other Places
Ramen /  Noodle House,Food & Drink
Ramen / Noodle House,Food & Drink
Real Estate Office,Professional & Other Places
Record Shop,Shop & Service
Recycling Facility,Professional & Other Places
Rental Car Location,Travel & Transport
Residential Building (Apartment / Condo),Residence
Resort,Travel & Transport
Rest Area,Travel & Transport
Restaurant,Food & Drink
River,Outdoors & Recreation
Road,Travel & Transport
Rock Climbing Spot,Outdoors & Recreation
Rock Club,Nightlife Spot
Sake Bar,Nightlife Spot
Salad Place,Food & Drink
Salon / Barbershop,Shop & Service
Sandwich Place,Food & Drink
Scandinavian Restaurant,Food & Drink
Scenic Lookout,Outdoors & Recreation
School,College & Education
Science Museum,Arts & Entertainment
Sculpture Garden,Arts & Entertainment
Seafood Restaurant,Food & Drink
Shoe Store,Shop & Service
Shop & Service,Shop & Service
Shrine,Professional & Other Places
Skate Park,Outdoors & Recreation
Skating Rink,Outdoors & Recreation
Smoke Shop,Shop & Service
Snack Place,Food & Drink
Soccer Field,Outdoors & Recreation
Soccer Stadium,Outdoors & Recreation
Sorority House,Residence
Soup Place,Food & Drink
South American Restaurant,Food & Drink
Spa / Massage,Shop & Service
Spanish Restaurant,Food & Drink
Speakeasy,Nightlife Spot
Spiritual Center,Professional & Other Places
Sporting Goods Shop,Shop & Service
Sports Bar,Nightlife Spot
Stable,Outdoors & Recreation
Stables,Outdoors & Recreation
Stadium,Outdoors & Recreation
Steakhouse,Food & Drink
Storage Facility,Professional & Other Places
Strip Club,Nightlife Spot
Student Center,College & Education
Subway,Travel & Transport
Sushi Restaurant,Food & Drink
Synagogue,Professional & Other Places
Taco Place,Food & Drink
Tailor Shop,Shop & Service
Tanning Salon,Shop & Service
Tapas Restaurant,Food & Drink
Taxi,Travel & Transport
Tea Room,Food & Drink
Tech Startup,Professional & Other Places
Temple,Professional & Other Places
Tennis Court,Outdoors & Recreation
Thai Restaurant,Food & Drink
Theater,Arts & Entertainment
Theme Park,Arts & Entertainment
Theme Park Ride / Attraction,Arts & Entertainment
Thrift / Vintage Store,Shop & Service
Tourist Information Center,Travel & Transport
Toy / Game Store,Shop & Service
Track,Outdoors & Recreation
Track Stadium,Outdoors & Recreation
Trade School,College & Education
Train,Travel & Transport
Train Station,Travel & Transport
Travel & Transport,Travel & Transport
Travel Agency,Travel & Transport
Travel Lounge,Travel & Transport
Turkish Restaurant,Food & Drink
University,College & Education
Vegetarian / Vegan Restaurant,Food & Drink
Veterinarian,Professional & Other Places
Video Game Store,Shop & Service
Video Store,Shop & Service
Vietnamese Restaurant,Food & Drink
Vineyard,Outdoors & Recreation
Water Park,Arts & Entertainment
Well,Professional & Other Places
Whisky Bar,Nightlife Spot
Wine Bar,Nightlife Spot
Wine Shop,Shop & Service
Winery,Food & Drink
Wings Joint,Food & Drink
Women's Store,Shop & Service
Yoga Studio,Outdoors & Recreation
Yogurt,Food & Drink
Zoo,Arts & Entertainment
